Produktgruppe;Produktgruppe Bezeichnung;E_A;Haushaltsposition;Jahr;Euro
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2012;1.000,00
1.10.08;Geschäftsstelle der KAV;E;Privatrechtliche Leistungsentgelte;2013;1.000,00
1.10.08;Geschäftsstelle der KAV;E;Sonstige ordentliche Erträge;2008;33,90
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2008;230.027,75
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2009;105.000,00
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2010;117.490,00
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2011;169.041,50
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2012;134.000,00
1.11.01;Einwohnerangelegenheiten;A;Abschreibungen;2013;120.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2008;6.035.156,74
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2009;4.657.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2010;4.537.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2011;5.537.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2012;4.537.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Sach- und Dienstleistungen;2013;4.537.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;100.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;100.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;100.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;100.000,00
1.11.01;Einwohnerangelegenheiten;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;100.000,00
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2008;6.681.814,29
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2009;6.970.000,00
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2010;10.865.000,00
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2011;10.875.000,00
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2012;10.875.000,00
1.11.01;Einwohnerangelegenheiten;A;Personalaufwendungen;2013;10.875.000,00
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2008;1.424.073,76
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2009;1.447.000,00
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2010;1.433.000,00
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2011;1.492.000,00
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2012;1.492.000,00
1.11.01;Einwohnerangelegenheiten;A;Versorgungsaufwendungen;2013;1.492.000,00
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2008;3.649.762,29
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2009;2.745.000,00
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2010;2.745.000,00
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2011;2.745.000,00
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2012;2.745.000,00
1.11.01;Einwohnerangelegenheiten;E;Öffentlich-rechtliche Leistungsentgelte;2013;2.745.000,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2008;0,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2009;0,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2010;0,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2011;0,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2012;0,00
1.11.01;Einwohnerangelegenheiten;E;Privatrechtliche Leistungsentgelte;2013;0,00
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2008;18.458,10
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2009;5.000,00
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2010;90.000,00
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2011;90.000,00
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2012;90.000,00
1.11.01;Einwohnerangelegenheiten;E;Sonstige ordentliche Erträge;2013;90.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2008;70.659,36
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2009;35.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2010;48.009,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2011;50.936,50
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2012;38.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Abschreibungen;2013;42.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2008;487.912,21
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2009;666.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2010;536.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2011;536.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2012;548.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Aufwendungen für Sach- und Dienstleistungen;2013;536.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2008;3.034.241,26
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2009;3.240.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2010;3.351.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2011;3.351.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2012;3.351.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Personalaufwendungen;2013;3.351.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2008;1.237.877,79
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2009;1.409.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2010;1.383.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2011;1.411.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2012;1.411.000,00
1.11.02;Staatsangehörigkeit und Personenstand;A;Versorgungsaufwendungen;2013;1.411.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2008;783.235,58
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2009;740.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2010;740.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2011;740.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2012;740.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Öffentlich-rechtliche Leistungsentgelte;2013;740.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2008;63.617,70
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2009;37.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2010;37.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2011;37.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2012;37.000,00
1.11.02;Staatsangehörigkeit und Personenstand;E;Sonstige ordentliche Erträge;2013;37.000,00
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2008;842.514,62
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2009;450.000,00
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2010;600.743,00
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2011;833.610,50
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2012;710.000,00
1.11.04;Ordnung und Sicherheit;A;Abschreibungen;2013;727.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2008;10.062.080,79
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2009;10.259.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2010;10.787.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2011;10.787.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2012;10.513.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Sach- und Dienstleistungen;2013;10.513.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;37.760,80
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;17.000,00
1.11.04;Ordnung und Sicherheit;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;17.000,00
